ts_gps,x,y,z,intensity
1648200140005000051,0.8015894662485155,0.012193450264815442,0.16551431288934826,31
1648200140005000102,0.4272926006758513,0.803450376379411,0.9507320498482517,222
1648200140005000153,0.28174860436570504,0.14138542942084942,0.5980319928668042,117
1648200140005000204,0.37790801014280506,0.2881450026740815,0.49119572497924824,193
1648200140005000255,0.5856397104985382,0.9099193677216914,0.7629807171373859,93
1648200140005000306,0.7795719980614663,0.9910707361284903,0.4717192772380875,97
1648200140005000357,0.8449749642554929,0.6607096184176323,0.9233726275729138,137
1648200140005000408,0.5957872277761018,0.5476372031037128,0.03134582892308935,85
1648200140005000459,0.8168430874266265,0.20013364732949557,0.9452697919360974,251
1648200140005000510,0.3807405480892091,0.42959562975417964,0.8738823743077038,71
