ts_gps,x,y,z,intensity
1648200140000000051,0.831773626336149,0.8123752081697118,0.903624510908586,159
1648200140000000102,0.5895183320387692,0.2223982881617409,0.5460139446290156,144
1648200140000000153,0.6520618452790364,0.18742170544013637,0.8295470645313564,149
1648200140000000204,0.038859707138966804,0.13113218427362305,0.8063669836484509,63
1648200140000000255,0.38512885286184095,0.7653178024744111,0.32031978882206713,148
1648200140000000306,0.08700335535179704,0.5069936233020946,0.9871752603557388,17
1648200140000000357,0.9037691836393326,0.810170883812222,0.8690803007036795,80
1648200140000000408,0.892931196645877,0.5180611870451031,0.7395697796011053,23
1648200140000000459,0.5133130917092253,0.04854362155076186,0.4525827755022509,53
1648200140000000510,0.16474937305672677,0.21396065292017352,0.948485273161832,19
