ts_gps,x,y,z,intensity
1648200140005000051,0.38256550859956284,0.10716494780302965,0.9682590054903608,155
1648200140005000102,0.5528647490110746,0.7983291994819047,0.84024595104798,20
1648200140005000153,0.8130327462752412,0.5320544505064478,0.03925868760031104,162
1648200140005000204,0.9062459376211587,0.7529700732920731,0.8876667851018678,235
1648200140005000255,0.16814946780297513,0.363586768106928,0.373557548377198,238
1648200140005000306,0.4148361148563481,0.1384923320363658,0.1369915227860944,119
1648200140005000357,0.6641304827519301,0.4602260143104099,0.2506601924286389,211
1648200140005000408,0.4426999088509469,0.6619216831535341,0.8220356863684694,233
1648200140005000459,0.8761996531381054,0.17036600375784394,0.06653898187129559,216
1648200140005000510,0.794000750849804,0.7012593746985639,0.07913257842028198,102
